ID,Document Text
299648,"The Grammy Award for Best Mexican/Mexican-American Album was an award presented to recording artists for quality albums in the Mexican music genre at the Grammy Awards, a ceremony that was established in 1958 and originally called the Gramophone Awards. Honors in several categories are presented at the ceremony annually by the National Academy of Recording Arts and Sciences of the United States to ""honor artistic achievement, technical proficiency and overall excellence in the recording industry, without regard to album sales or chart position""."
458126,"José Pablo Moncayo García (June 29, 1912 – June 16, 1958) was a Mexican pianist, percussionist, music teacher, composer and conductor. ""As composer, José Pablo Moncayo represents one of the most important legacies of the Mexican nationalism in art music, after Silvestre Revueltas and Carlos Chávez."
